airline|country|IATA|ICAO|callsign
1Time Airline|South Africa|1T|RNX|NEXTIME
40-Mile Air|United States|Q5|MLA|MILE-AIR
Aban Air|Iran|K5|ABE|ABAN
Abelag Aviation|Belgium|W9|AAB|ABG
ABSA - Aerolinhas Brasileiras|Brazil|M3|TUS|ABSA Cargo
Abu Dhabi Amiri Flight|United Arab Emirates|MO|AUH|SULTAN
ABX Air|United States|GB|ABX|ABEX
Access Air|United States|ZA|CYD|CYCLONE
ACES Colombia|Colombia|VX|AES|ACES
Ada Air|Albania|ZY|ADE|ADA AIR
Adam Air|Indonesia|KI|DHI|ADAM SKY
ADC Airlines|Nigeria|Z7|ADK|ADCO
Adria Airways|Slovenia|JP|ADR|ADRIA
Aegean Airlines|Greece|A3|AEE|AEGEAN
Aer Arann|Ireland|RE|REA|AER ARANN
Aer Lingus|Ireland|EI|EIN|SHAMROCK
Aero 2000|Argentina|4M|DSM|LAN AR
Aero Airlines|Estonia|EE|EAY|REVAL
Aero Asia International|Pakistan|E4|RSO|AERO ASIA
Aero Benin|Benin|EM|AEB|AEROBEN
Aero California|Mexico|JR|SER|AEROCALIFORNIA
Aero Condor Peru|Peru|Q6|CDP|CONDOR-PERU
Aero Contractors|Nigeria|AJ|NIG|AEROLINE
Aero Flight|Germany|GV|ARF|Aero Fox
Aero Lanka|Sri Lanka|QL|RLN|AERO LANKA
Aero Services Executive|France|W4|BES|BIRD EXPRESS
Aero VIP|Argentina|2D|AOG|AVIP
Aero-Charter Ukraine|Ukraine|DW|UCR|CHARTER UKRAINE
Aero-Service|Republic of the Congo|BF|RSR|CONGOSERV
Aerocondor|Portugal|2B|ARD|AEROCONDOR
Aeroflot Russian Airlines|Russia|SU|AFL|AEROFLOT
Aeroflot-Don|Russia|D9|DNV|DONAVIA
Aerogal|Ecuador|2K|GLG|AEROGAL
Aerolane|Ecuador|XL|LNE|LAN ECUADOR
Aerolineas Argentinas|Argentina|AR|ARG|ARGENTINA
Aerolitoral|Mexico|5D|SLI|COSTERA
Aerologic|Germany|3S|BOX|GERMAN CARGO
Aeromar|Dominican Republic|BQ|ROM|BRAVO QUEBEC
Aeroméxico|Mexico|AM|AMX|AEROMEXICO
Aeromexpress|Mexico|QO|MPX|AEROMEXPRESS
Aeromist-Kharkiv|Ukraine|HT|AHW|AEROMIST
Aeropelican Air Services|Australia|OT|PEL|PELICAN
Aeroperú|Peru|PL|PLI|Aeroperu
AeroRepública|Colombia|P5|RPB|AEROREPUBLICA
Aerosur|Bolivia|5L|ASU|AEROSUR
Aerosvit Airlines|Ukraine|VV|AEW|AEROSVIT
Africa West|Togo|FK|WTA|WEST TOGO
African Safari Airways|Kenya|QS|QSC|ZEBRA
Afriqiyah Airways|Libya|8U|AAW|AFRIQIYAH
Aigle Azur|France|ZI|AAF|AIGLE AZUR
Air Algérie|Algeria|AH|DAH|AIR ALGERIE
Air Alpha Greenland|Denmark|GD|AHA|AIR ALPHA
Air Alps Aviation|Austria|A6|LPV|ALPAV
Air Arabia|United Arab Emirates|G9|ABY|ARABIA
Air Armenia|Armenia|QN|ARR|AIR ARMENIA
Air Astana|Kazakhstan|KC|KZR|ASTANALINE
Air Atlanta Icelandic|Iceland|CC|ABD|ATLANTA
Air Atlantique|United Kingdom|KI|AAG|ATLANTIC
Air Austral|France|UU|REU|REUNION
Air Bagan|Myanmar|W9|JAB|AIR BAGAN
Air Baltic|Latvia|BT|BTI|AIRBALTIC
Air Bangladesh|Bangladesh|B9|BGD|AIR BANGLA
Air Berlin|Germany|AB|BER|AIR BERLIN
Air Bosna|Bosnia and Herzegovina|JA|BON|AIR BOSNA
Air Botswana|Botswana|BP|BOT|BOTSWANA
Air Bourbon|Reunion|ZB|BUB|BOURBON
Air Burkina|Burkina Faso|2J|VBW|BURKINA
Air Burundi|Burundi|8Y|PBU|AIR-BURUNDI
Air Calédonie|France|TY|TPC|AIRCAL
Air Caledonie International|France|SB|ACI|AIRCALIN
Air Canada|Canada|AC|ACA|AIR CANADA
Air Canada Jazz|Canada|QK|JZA|JAZZ
Air Caraïbes|France|TX|FWI|FRENCH WEST
Air Cargo Carriers|United States|2Q|SNC|NIGHT CARGO
Air Central|Japan|NV|CRF|AIR CENTRAL
Air Chathams|New Zealand|CV|CVA|CHATHAM
Air China|China|CA|CCA|AIR CHINA
Air City|Germany|4F|ECE|AIRCITY
Air Class Líneas Aéreas|Uruguay|QD|QCL|ACLA
