city|misspelling
abbeville|abbevile
abbeville|abeville
abilene|abiline
adamsville|adamsvile
adams|adums
akron|acron
alabaster|alabastre
alameda|alamedda
alamosa|alamusa
albany|albanee
albany|albny
albany|allbany
albertville|albertvile
albuquerque|abaquerque
albuquerque|albequerqu
albuquerque|albuqerque
albuquerque|albuquerqe
algona|allgona
algonquin|algonkwen
algonquin|algonkwin
algonquin|algonquen
allemands|alemand
allentown|alentown
alma|amla
amboy|amboi
anderson|andarson
angeles|angels
angeles|angleles
angeles|angles
angelo|agilo
angelo|angilo
annapolis|anapolis
anniston|aniston
ann|a
anoka|annoka
anthony|anthoy
apache|apac
apex|apecks
apex|apexs
artesia|artesea
arvada|avrada
arvada|rvada
ashton|ashtown
aspen|aspin
athens|athins
athol|atthol
atlanta|altanta
auburn|aburn
auburn|aubern
auburn|uaburn
ault|alt
ault|ult
aurora|arora
aurora|uarora
austin|austen
bakersfield|bakersfeil
baltimore|baltimor
bandera|bandere
bandera|bandira
bangor|banger
bardstown|bardston
barre|bare
batavia|batevia
batre|bater
baxter|bakste
bayou|bay
bayou|bayu
beach|baech
beach|beech
beardstown|baerdstown
beattie|baettie
beattie|beatie
beaver|beever
beaver|bever
bellevue|beleevue
bellevue|belleveu
bellingham|belingham
bellingham|belinghem
belzoni|belsoni
bemidji|bemedji
bemidji|bemidjee
bemidji|bemidje
benton|benten
benton|binton
berea|berae
berkeley|berkley
berkeley|berklui
berkeley|berkly
berlin|berlen
berlin|burlin
berrien|berian
berrien|brerrian
berryville|berryvile
berthoud|berthood
berthoud|burthoud
bertram|bertrim
bessemer|besemer
bethany|betheny
bethlehem|bethlaham
bethlehem|bethlahem
bethlehem|bethleham
biloxi|bilcksi
biloxi|bilocksi
binghamton|bimghamton
birmingham|bermingham
birmingham|berminghum
birmingham|birminghum
birmingham|brimingham
bishop|bisshop
bloomington|bloomingtown
bluefield|bluefeild
boone|bonne
boston|bostun
bothell|bothel
boulder|bolder
bozeman|bozman
breaux|braeux
breckenridge|brekenridge
brevard|breverd
bridgeport|brigdeport
bridgeport|brigeport
brinkley|brinckley
brinkley|brinkly
bristol|bristal
bristol|bristel
bristol|bristil
britain|britin
brockton|brocktun
brockton|brocton
brockton|brokton
brooklyn|brooklen
brunswick|brenswick
brunswick|brunswik
buena|benua
buena|beuna
buena|bunena
buhl|buhll
buhl|bulh
buhl|bull
burlington|berlington
butte|bu
butte|but
butte|bute
butte|but
butte|butt
byram|biram
calabash|kalabash
caldwell|callwell
caldwell|callwel
caldwell|calwel
campbell|campbele
campbell|campbel
canon|cannon
carbondale|carbundale
carrboro|carboro
carrboro|carrborro
castle|castel
castroville|castro ville
castroville|castrovile
cawker|carker
cedaredge|cederedge
central|centrel
chadbourn|chadborn
champaign-urbana|champaign urbana
champaign-urbana|champaigne-urbana
champaign-urbana|champain-urbana
chandler|chandlur
charleston|charleton
charlotte|charlote
chatsworth|chatswoorth
chatsworth|chatswourth
chattanooga|chatanoga
chattanooga|chatanooga
chattanooga|chattanoga
cherryfield|cherryfeild
cheshire|chessire
cheyenne|cheyene
chicago|chicargo
chico|checo
chico|cheico
chico|cheiko
chico|cheko
chico|chiko
chula|chewla
chula|chola
chula|chuula
churubusco|churobusco
churubusco|churubesco
cincinnati|cincinati
cincinnati|cinsinati
cincinnati|cinsinnati
cincinnati|sincinati
cincinnati|sincinnati
cincinnati|sinsinati
circleville|circlevile
clarksville|clarksvile
clark|clerk
claxton|claxtown
cleveland|clevland
clifton|clefton
clifton|cliften
clifton|cliftin
cloud|cluod
clovis|cloves
clovis|kloves
clovis|klovis
coachella|coachela
coachella|coahcela
coachella|coahcella
coachella|cochela
coachella|cochella
coconut|cocanut
cody|codee
cody|codi
collinsville|collinsvil
collins|colin
colonial|collonial
colony|colonny
colquitt|colquit
colquitt|culquitt
columbia|clumbia
columbia|colubia
columbia|columbea
columbus|calumbus
columbus|colubus
columbus|columbas
colville|colvile
compton|comptan
compton|compten
concord|concerd
conway|conaway
conway|connway
cooperstown|cooperston
cooperstown|coperstown
coral|corel
cordele|cordell
corning|cornning
corona|carona
corsicana|coricana
corsicana|corsikana
cottonwood|cotonwood
cottonwood|cottonwod
cozad|cosad
cozad|cozzad
cranford|cranferd
crawford|crawferd
creede|crede
creede|creed
crisfield|crisfeild
crosse|crose
cruz|cruise
crystal|crsytal
cuero|ceuro
cuero|cuaro
dalton|dawlten
dalton|dawlton
daly|dally
danbury|danbery
dannebrog|danebrog
dannebrog|dannesborg
danville|danvile
davison|davisen
davis|daveis
davis|dayvis
dawsen|dawsin
dayton|daeton
dayton|daytown
dekalb|decalb
dekalb|deekalb
decatur|decater
decatur|decauter
decatur|decautur
deer|dea
deland|daland
delphos|delphis
delphos|delphus
demopolis|demopalis
denver|denvar
denville|denvile
derby|darby
derry|dery
detroit|detriot
dickinson|dicinson
diego|deago
diego|deigo
diego|diago
dinuba|dinuuba
dodge|dogd
dodge|dogde
douglas|doglas
douglas|duoglas
dover|dovar
dove|dove creak
drayton|draytown
drumright|drumrite
dubach|debach
duluth|deluth
dumas|domas
dumas|dummas
duncanville|duncanvile
durango|derango
dyersville|dyersvile
dyersville|dyerville
eagle|aegle
eaton|eeton
eau|e
edgewater|egdewater
elberton|elberte
elberton|elbertun
elgin|elgen
elgin|lgen
elgin|lgin
elizabethton|elisabethto
elizabethton|elizabetha
elizabethton|elizabethte
elkhart|elkheart
elkhart|ellkhart
emerson|emmerson
emmetsburg|emetsburg
emmetsburg|emmitsburg
enumclaw|imunclaw
erie|eerie
erie|erei
erwin|irwin
eufaula|ufaula
eugene|eugean
eugene|ugene
eustis|eutes
eustis|ustis
fairfield|fairfeild
fallbrook|fallbroock
fallon|falon
farmington|farmingten
fayetteville|faeteville
fayetteville|faettevill
fayetteville|fayetevile
fayetteville|fayetevill
fayetteville|fayettevil
fayetteville|fayettvill
fayetteville|fayetvile
fayetteville|fayetville
fernandina|fernadina
fernandina|fernandena
fe|fae
fe|fay
flagstaff|flagstaf
florida|floorida
forestville|forestvile
forestville|forrestvill
forest|forrest
fortescue|fortesceu
fortescue|fortescu
francisco|francesco
francisco|fransico
fruita|fruta
fulton|fullton
gainesville|gainsvile
galilee|galalee
galilee|gallilee
gallup|gallop
galveston|galverten
galveston|galvestin
gary|garry
gaylord|gaelord
genoa|genao
gilroy|gillroy
girard|girad
glendale|glendele
glendive|glendeve
gloucester|glocester
gloucester|glochester
goleta|goeleta
goleta|golleta
gonzales|gonzals
granville|granvile
greeley|greely
greeley|greley
greenfield|greenfeild
greenville|greenvile
greenwood|greenwod
gridley|grideley
griffin|grifin
griggsville|griggsvile
griggsville|grigsville
grinnell|grinell
grinnell|grinnel
groton|groten
groton|growton
grove|grave
gueydan|geuydan
gulfport|gulf port
hacienda|hacenda
hacienda|haicenda
hacienda|haisenda
hacienda|hasenda
hadley|hadly
hagerstown|hagerston
hagerstown|hagerton
haines|hains
haines|hanies
haines|haynes
haines|hayns
haleyville|haleyvile
hamden|hamdin
hamilton|hamelton
hamilton|hamiltown
hammondsport|hamondsport
hannibal|hanibal
hartford|hartferd
hartselle|hartsele
hastings|hasting
hattiesburg|hatiesburg
hattiesburg|hattesburg
haute|hate
haven|havan
haven|heaven
haven|heven
haverstraw|haversstraw
haysville|haysvile
heights|hieghts
hercules|heracles
hercules|hercales
hershey|hershy
hershey|hurshy
hialeah|hialaeh
hialeah|hialeh
hialeah|hileah
holtville|holtvile
