state|misspelling
alabama|allabama
alabama|alabamma
alaska|alsaka
arizona|arizonia
arizona|arzinoa
california|califronia
colorado|calorado
colorado|colarado
connecticut|connecticutt
connecticut|conneticutt
connecticut|connetticut
connecticut|connetticutt
connecticut|conneticut
delaware|delawere
florida|floridas
florida|floryda
florida|florda
florida|flordia
georgia|georgeia
georgia|georgea
hawaii|hawai
hawaii|howaii
hawaii|hawii
hawaii|hawaai
idaho|idahoe
idaho|ideho
illinois|illanoise
iowa|iowha
iowa|ioaw
iowa|iwoa
kentucky|kentuky
kentucky|kentucy
louisiana|louiseiana
maine|main
maine|miane
maine|miane
maryland|mary land
maryland|marryland
massachusetts|massachussetts
massachusetts|masachusetts
massachusetts|masachusets
massachusetts|massachussets
michigan|michgan
michigan|michagin
michigan|michagan
minnesota|minesota
mississippi|mississipi
mississippi|misouri
mississippi|missisipi
mississippi|missoury
mississippi|missisippi
nebraska|nebrascka
nevada|nevadaa
nevada|newvada
nevada|navada
new hampshire|newhampshire
new jersey|newjersey
new mexico|newmexico
new york|newyork
north carolina|north caroleina
north dakota|n.dak
north dakota|northdakota
north dakota|ndak
ohio|oiho
oklahoma|okalahoma
oregon|orgon
pennsylvania|pensylvania
rhode island|road island
rhode island|rhodeisland
rhode island|rode island
rhode island|rhod island
south carolina|southcarolina
south carolina|sout carolin
south carolina|south carolna
south carolina|souh carolia
south carolina|south carolina
south dakota|southdakota
tennessee|tennesee
tennessee|tennisse
tennessee|tennissee
tennessee|tennisee
texas|texes
texas|texis
utah|utes
utah|utar
west virginia|west virgina
west virginia|west virgnia
wyoming|whyoming
wyoming|wioming
wyoming|wisconson
