name|nickname
aaron|aarie
aaron|aary
aaron|ari
aaron|arri
aaron|ron
aaron|ronnie
abbott|ab
abel|abe
abigail|abbey
abigail|abbie
abigail|abby
abigail|gail
abigail|gale
abigail|gayl
abigail|gayle
abraham|abe
abraham|abie
abraham|abram
abraham|bram
acacia|cacia
acacia|casia
adam|ad
adam|addy
adara|addie
adelaide|aley
adelaide|ela
adelaide|elke
adelaide|laidey
adelaide|laidy
adeline|ada
adeline|addie
adeline|addy
adeline|adelle
adrian|addie
adrian|ade
adrian|adri
adrienne|addie
agate|aggie
agatha|aage
agatha|agata
agatha|agathe
agatha|agathi
agatha|age
agatha|agge
agatha|aggie
agatha|aggy
agatha|agi
agatha|agie
agatha|egie
aggie|ag
agnes|aggie
agnes|aggy
agnes|agni
agnes|ines
agnes|necha
aileen|lena
alan|al
alberta|berta
alberta|bertie
albert|al
albert|albie
albert|bert
albert|berto
albert|burt
aldo|al
aldrich|rich
aldrich|richie
alexander|al
alexander|alac
alexander|alax
alexander|alec
alexander|aleck
alexander|aleix
alexander|alejo
alexander|alejos
alexander|alek
alexander|aleks
alexander|ales
alexander|alesi
alexander|alex
alexander|alexe
alexander|alexei
alexander|alexey
alexander|alexs
alexander|alexsey
alexander|alexy
alexander|alez
alexander|alic
alexander|alick
alexander|aliek
alexander|alix
alexander|allec
alexander|alleik
alexander|allex
alexander|elex
alexander|jando
alexander|oles
alexander|sandy
alexander|sasha
alexander|xan
alexander|xander
alexander|zander
alexandra|ale
alexandra|alea
alexandra|aleah
alexandra|aleaha
alexandra|aleahya
alexandra|alei
alexandra|aleia
alexandra|aleja
alexandra|alejan
alexandra|aleka
alexandra|alex
alexandra|alexie
alexandra|alexza
alexandra|aley
alexandra|aleya
alexandra|aleyah
alexandra|allie
alexandra|alyx
alexandra|alyxa
alexandra|alyza
alexandra|alyze
alexandra|lexie
alexandra|lexy
alexandra|sandie
alexandra|sandy
alexandria|alexia
alexandria|drinka
alexa|alex
alexis|alex
alexis|alexi
alexis|alexia
alexis|alexie
alexis|alexx
alexis|alley
alexis|alli
alexis|allie
alexis|ally
alexis|lexi
alexis|lexie
alexis|lexis
alexis|lexus
alfreda|ferda
alfreda|freda
