occupation
able seaman
abrasive grader
abrasive grinder
abrasive mixer
abrasive sawyer
abrasive-band winder
abrasive-coating-machine operator
abrasive-grader helper
abrasive-mixer helper
abrasive-wheel molder
absorption operator
absorption-and-adsorption engineer
abstractor
academic dean
accelerator operator
accident-prevention-squad police officer
accordion maker
accordion repairer
accordion tuner
account executive
account-information clerk
accountant
accountant, budget
accountant, cost
accountant, property
accountant, systems
accountant, tax
accounting clerk
accounts-adjustable clerk
acetone-button paster
acetone-recovery worker
acetylene-cylinder-packing mixer
acetylene-plant operator
acid adjuster
acid dumper
acid extractor
acid filler
acid maker
acid purifier
acid supervisor
acid-plant helper
acid-polymerization operator
acid-tank liner
acoustical carpenter
acquisitions librarian
acrobat
acrobatic rigger
actor
actuary
acupressurist
acupuncturist
addresser
addressing-machine operator
adhesive primer
adhesive-bandage-machine operator
adjudicator
adjuster
adjuster, alarm mechanism
adjuster, electrical contacts
administrative assistant
administrative clerk
admissions evaluator
admitting officer
advertising clerk
advertising-dispatch clerk
advertising-material distributor
advertising-space clerk
adzing-and-boring-machine operator
aerial-photograph interpreter
aerial-tram operator
aerialist
aerodynamicist
aeronautical engineer
aeronautical project engineer
aeronautical test engineer
aeronautical-design engineer
aeronautical-research engineer
agate setter
agent-contract clerk
agent-licensing clerk
ager operator
aging-department supervisor
agricultural engineer
agricultural-chemicals inspector
agricultural-engineering technician
agricultural-research engineer
agronomist
air analyst
air and hydronic balancing technician
air purifier servicer
air-and-water filler
air-bag curer
air-compressor mechanic
air-compressor operator
air-conditioning installer-servicer helper, window unit
air-conditioning installer-servicer, window unit
air-conditioning mechanic
air-conditioning-coil assembler
air-conditioning-unit tester
air-drier-machine operator
air-hole driller
air-table operator
air-valve repairer
airborne sensor specialist
airbrush artist
aircraft body repairer
aircraft launch and recovery technician
aircraft mechanic, armament
aircraft mechanic, electrical and radio
aircraft mechanic, environmental control system
aircraft mechanic, plumbing and hydraulics
aircraft mechanic, rigging and controls
aircraft skin burnisher
aircraft-armament mechanic
aircraft-log clerk
aircraft-photographic-equipment mechanic
aircraft-shipping checker
airframe-and-power-plant mechanic
airframe-and-power-plant-mechanic apprentice
airframe-and-power-plant-mechanic helper
airline security representative
airplane coverer
airplane inspector
airplane-charter clerk
airplane-dispatch clerk
airplane-flight attendant
airplane-gas-tank-liner assembler
airplane-pilot helper
airport attendant
airport electrician
airport engineer
airport utility worker
airport-maintenance chief
alarm investigator
alarm operator
aligner, barrel and receiver
aligner, typewriter
allergist-immunologist
almond blancher, hand
almond huller
almond-blancher operator
almond-cutting-machine tender
almond-paste mixer
almond-paste molder
alodize-machine helper
alodize-machine operator
alteration tailor
alterations workroom clerk
alum-plant operator
alumina-plant supervisor
aluminum-container tester
aluminum-hydroxide-process operator
aluminum-pool installer
alumni secretary
amalgamator
ambulance attendant
ambulance driver
ammonia-still operator
ammonium-nitrate crystallizer
amphibian crewmember
ampoule examiner
ampoule filler
ampoule sealer
ampoule-washing-machine operator
amusement park entertainer
amusement park worker
analyst, food and beverage
anatomist
anesthesiologist
angle shear operator
animal breeder
animal caretaker
animal eviscerator
animal keeper
animal keeper, head
animal scientist
animal trainer
animal treatment investigator
animal-hospital clerk
animal-nursery worker
animal-ride attendant
animal-ride manager
animal-shelter clerk
ankle-patch molder
annealer
announcer
anode builder
anode rebuilder
anode-crew supervisor
anodizer
antenna installer
antenna installer, satellite communications
anthropologist
anthropologist, physical
antichecking-iron worker
antisqueak filler
antitank assault gunner
anvil-seating-press operator
apiculturist
apparel-rental clerk
appeals referee
appeals reviewer, veteran
apple-packing header
appliance assembler, line
appliance repairer
applications engineer, manufacturing
appliquer, zigzag
appointment clerk
appraiser, automobile damage
apron cleaner
aquarist
aquatic biologist
aquatic performer
arbitrator
arbor-press operator i
arborer
arc cutter
arch-cushion-press operator
arch-cushion-skiving-machine operator
arch-support technician
archeologist
architect
architect, marine
archivist
armature bander
armature connector ii
armature tester i
armature winder, repair
armature-winder helper, repair
armhole baster, jumpbasting
armhole feller, handstitching machine
armhole-sew-and-trim operator, lockstitch
armor reconnaissance specialist
armored-car guard
